mode,op,element_type,analysis,n,sparsity,select-matrix-repr,mean_ns,std_ns
naive,idxMax,double,min max,4096,0.001,False,22094643.6,1924472.3827995153
naive,idxMax,double,min max,4096,0.01,False,23002437.7,2558095.949831309
naive,idxMax,double,min max,4096,0.05,False,21502659.5,84797.2565243452
naive,idxMax,double,min max,4096,0.1,False,22080006.8,1948640.4193952372
naive,idxMax,double,min max,4096,0.2,False,22328948.3,1841571.2161722758
naive,idxMax,double,min max,4096,0.25,True,21599967.1,420950.1202614148
naive,idxMax,double,min max,4096,1.0,True,21746946.7,1186636.4962152522
naive,idxMax,double,min max mean,1024,0.001,False,1474715.7,143038.4975685839
naive,idxMax,double,min max mean,1024,0.01,False,1472430.5,141153.8576670074
naive,idxMax,double,min max mean,1024,0.05,False,1516285.6,20335.133036201107
naive,idxMax,double,min max mean,1024,0.1,False,1471363.7,142260.54330156185
naive,idxMax,double,min max mean,1024,0.2,False,1519841.8,43676.33530567021
naive,idxMax,double,min max mean,1024,0.25,True,1458384.4,138078.670226795
naive,idxMax,double,min max mean,1024,1.0,True,1416932.1,187176.18882364404
naive,idxMax,double,min max mean,2048,0.001,False,5355162.0,13866.038847967147
naive,idxMax,double,min max mean,2048,0.01,False,5475027.9,405213.69091558753
naive,idxMax,double,min max mean,2048,0.05,False,5840866.8,687338.1843559496
naive,idxMax,double,min max mean,2048,0.1,False,5448994.5,328926.2306010101
naive,idxMax,double,min max mean,2048,0.2,False,5344178.0,9556.793767321302
naive,idxMax,double,min max mean,2048,0.25,True,5921325.7,624224.7187120374
naive,idxMax,double,min max mean,2048,1.0,True,5779454.2,404195.7348125067
naive,idxMax,double,min max mean,4096,0.001,False,22634818.2,2401229.958533465
naive,idxMax,double,min max mean,4096,0.01,False,22417389.1,2063143.0305067964
naive,idxMax,double,min max mean,4096,0.05,False,21462795.0,72994.26156593178
naive,idxMax,double,min max mean,4096,0.1,False,21500775.1,102707.23657448242
naive,idxMax,double,min max mean,4096,0.2,False,21754366.8,873777.9968355548
naive,idxMax,double,min max mean,4096,0.25,True,21833128.2,1027911.2389733533
naive,idxMax,double,min max mean,4096,1.0,True,21843888.2,1133824.8257794203
naive,idxMax,double,,1024,0.001,False,1512856.25,7030.4858997683705
naive,idxMax,double,,1024,0.01,False,1445843.1,166346.18359563165
naive,idxMax,double,,1024,0.05,False,1492247.5,104458.40353914745
naive,idxMax,double,,1024,0.1,False,1481020.45,100007.21238436807
naive,idxMax,double,,1024,0.2,False,1494951.3,29564.265971465935
naive,idxMax,double,,1024,0.25,True,1474902.85,100473.14293108381
naive,idxMax,double,,1024,1.0,True,1511478.6,8281.78128182578
naive,idxMax,double,,2048,0.001,False,5376945.6,143852.49879738828
naive,idxMax,double,,2048,0.01,False,5373416.85,87824.47995997156
naive,idxMax,double,,2048,0.05,False,5438311.45,249493.08585725623
naive,idxMax,double,,2048,0.1,False,5486859.2,445144.58403801674
naive,idxMax,double,,2048,0.2,False,5391107.05,201643.990614902
naive,idxMax,double,,2048,0.25,True,5580633.2,472691.496766582
naive,idxMax,double,,2048,1.0,True,5741125.8,384164.45226362435
naive,idxMax,double,,4096,0.001,False,22516072.25,2221408.886382288
naive,idxMax,double,,4096,0.01,False,22066131.7,1817277.4385773991
naive,idxMax,double,,4096,0.05,False,22463346.45,2057038.1932691599
naive,idxMax,double,,4096,0.1,False,22032774.65,1501064.1486860784
naive,idxMax,double,,4096,0.2,False,22036838.25,1469180.576819783
naive,idxMax,double,,4096,0.25,True,22824308.15,2525503.5671909754
naive,idxMax,double,,4096,1.0,True,21648227.0,994470.1666827941
naive,idxMax,int64_t,max,1024,0.001,False,977352.5,8292.224232509765
naive,idxMax,int64_t,max,1024,0.01,False,976587.3,33509.94911316139
naive,idxMax,int64_t,max,1024,0.05,False,990932.8,12383.402869252945
naive,idxMax,int64_t,max,1024,0.1,False,974471.5,11845.7168185148
naive,idxMax,int64_t,max,1024,0.2,False,939452.2,7992.097343973956
naive,idxMax,int64_t,max,1024,0.25,True,922753.4,13498.54333046513
naive,idxMax,int64_t,max,1024,1.0,True,1022109.8,50824.726177980214
naive,idxMax,int64_t,max,2048,0.001,False,3116137.0,364940.4845584794
naive,idxMax,int64_t,max,2048,0.01,False,3085091.9,229849.1137833446
naive,idxMax,int64_t,max,2048,0.05,False,3125348.9,201017.2649398001
naive,idxMax,int64_t,max,2048,0.1,False,3045521.6,113486.54468379355
naive,idxMax,int64_t,max,2048,0.2,False,3038966.5,96528.56008025122
naive,idxMax,int64_t,max,2048,0.25,True,3121933.1,309261.4083114262
naive,idxMax,int64_t,max,2048,1.0,True,4169153.8,201933.59959694123
naive,idxMax,int64_t,max,4096,0.001,False,13532253.4,2089031.0779638807
naive,idxMax,int64_t,max,4096,0.01,False,12237069.3,83972.19729178892
naive,idxMax,int64_t,max,4096,0.05,False,12227627.6,100693.0257136899
naive,idxMax,int64_t,max,4096,0.1,False,13402704.6,2250447.4823272717
naive,idxMax,int64_t,max,4096,0.2,False,12561846.2,944261.8128245058
naive,idxMax,int64_t,max,4096,0.25,True,12756394.1,1038376.3005494523
naive,idxMax,int64_t,max,4096,1.0,True,12701141.1,1198500.8273326259
naive,idxMax,int64_t,mean,1024,0.001,False,980049.2,10193.296215323748
naive,idxMax,int64_t,mean,1024,0.01,False,994875.4,6789.194620866295
naive,idxMax,int64_t,mean,1024,0.05,False,996358.0,2550.98582251385
naive,idxMax,int64_t,mean,1024,0.1,False,977447.9,12143.7163307705
naive,idxMax,int64_t,mean,1024,0.2,False,942512.7,13856.29598614129
naive,idxMax,int64_t,mean,1024,0.25,True,942253.6,47611.16632611865
naive,idxMax,int64_t,mean,1024,1.0,True,1010005.4,7039.530164246284
naive,idxMax,int64_t,mean,2048,0.001,False,3139817.6,401016.8574858446
naive,idxMax,int64_t,mean,2048,0.01,False,3359376.9,581692.6286485844
naive,idxMax,int64_t,mean,2048,0.05,False,3041315.9,57437.28407856889
naive,idxMax,int64_t,mean,2048,0.1,False,3103547.8,242670.25018040882
naive,idxMax,int64_t,mean,2048,0.2,False,2965046.7,37236.665574702354
naive,idxMax,int64_t,mean,2048,0.25,True,2987579.6,21395.54909684618
naive,idxMax,int64_t,mean,2048,1.0,True,4113197.4,84546.51024692465
naive,idxMax,int64_t,mean,4096,0.001,False,13066388.8,1992650.533824389
naive,idxMax,int64_t,mean,4096,0.01,False,12205876.0,93280.72547483278
naive,idxMax,int64_t,mean,4096,0.05,False,12762693.9,1778846.1307562683
naive,idxMax,int64_t,mean,4096,0.1,False,12475892.2,618300.2464760954
naive,idxMax,int64_t,mean,4096,0.2,False,12580851.2,1106743.0243167263
naive,idxMax,int64_t,mean,4096,0.25,True,13323299.9,2172923.711431492
naive,idxMax,int64_t,mean,4096,1.0,True,12737614.9,1229306.5966353593
naive,idxMax,int64_t,min,1024,0.001,False,975550.6,9654.91003698232
naive,idxMax,int64_t,min,1024,0.01,False,980733.4,36526.46388031559
naive,idxMax,int64_t,min,1024,0.05,False,979469.6,34104.362986443695
naive,idxMax,int64_t,min,1024,0.1,False,969146.3,28163.82638164705
naive,idxMax,int64_t,min,1024,0.2,False,936496.0,16310.062872009063
naive,idxMax,int64_t,min,1024,0.25,True,917426.8,12477.122218061517
naive,idxMax,int64_t,min,1024,1.0,True,986282.6,44011.55234253842
naive,idxMax,int64_t,min,2048,0.001,False,3007240.3,31077.657962844616
naive,idxMax,int64_t,min,2048,0.01,False,3118788.8,354171.57872634433
naive,idxMax,int64_t,min,2048,0.05,False,3192945.6,329224.6803797607
naive,idxMax,int64_t,min,2048,0.1,False,3082958.8,199510.61205014188
naive,idxMax,int64_t,min,2048,0.2,False,3050171.5,145651.11483209912
naive,idxMax,int64_t,min,2048,0.25,True,3031168.6,90875.7508936729
naive,idxMax,int64_t,min,2048,1.0,True,4002134.1,258849.6738467029
naive,idxMax,int64_t,min,4096,0.001,False,12459002.1,703944.2574561094
naive,idxMax,int64_t,min,4096,0.01,False,12756447.7,1779912.2244675152
naive,idxMax,int64_t,min,4096,0.05,False,12234934.7,93270.16825217428
naive,idxMax,int64_t,min,4096,0.1,False,12581162.8,1105977.3931286903
naive,idxMax,int64_t,min,4096,0.2,False,12858605.8,1755220.2088570476
naive,idxMax,int64_t,min,4096,0.25,True,12605285.3,1086558.4559966337
naive,idxMax,int64_t,min,4096,1.0,True,12431631.7,675265.4054975633
naive,idxMax,int64_t,min max,1024,0.001,False,976273.3,14140.160057635667
naive,idxMax,int64_t,min max,1024,0.01,False,968949.5,43989.21849536922
naive,idxMax,int64_t,min max,1024,0.05,False,985494.4,7267.362706725968
naive,idxMax,int64_t,min max,1024,0.1,False,976535.8,12761.070625582763
naive,idxMax,int64_t,min max,1024,0.2,False,950988.0,8403.368002044044
naive,idxMax,int64_t,min max,1024,0.25,True,929434.9,22972.206576402048
naive,idxMax,int64_t,min max,1024,1.0,True,999654.5,37164.15898042391
naive,idxMax,int64_t,min max,2048,0.001,False,3015970.6,23837.858345264256
naive,idxMax,int64_t,min max,2048,0.01,False,3009031.5,24269.241723493018
naive,idxMax,int64_t,min max,2048,0.05,False,3217589.7,423451.54668169795
naive,idxMax,int64_t,min max,2048,0.1,False,3192641.9,349638.02496850624
naive,idxMax,int64_t,min max,2048,0.2,False,3134516.8,455680.075153074
naive,idxMax,int64_t,min max,2048,0.25,True,3105307.5,357754.096988498
naive,idxMax,int64_t,min max,2048,1.0,True,4240567.5,263335.5682340817
naive,idxMax,int64_t,min max,4096,0.001,False,12697695.9,1781061.8159880827
naive,idxMax,int64_t,min max,4096,0.01,False,12673428.4,1008853.3074818933
naive,idxMax,int64_t,min max,4096,0.05,False,12203397.5,49493.92510702697
naive,idxMax,int64_t,min max,4096,0.1,False,12766556.7,1595445.4071965858
naive,idxMax,int64_t,min max,4096,0.2,False,12277688.5,133412.79244531068
naive,idxMax,int64_t,min max,4096,0.25,True,12259332.4,67094.12066509403
naive,idxMax,int64_t,min max,4096,1.0,True,12191558.7,142658.5666859862
naive,idxMax,int64_t,min max mean,1024,0.001,False,983743.1,11215.139187227629
naive,idxMax,int64_t,min max mean,1024,0.01,False,993863.4,7014.277791286372
naive,idxMax,int64_t,min max mean,1024,0.05,False,995476.1,9513.875684727233
naive,idxMax,int64_t,min max mean,1024,0.1,False,961200.9,36678.5436898892
naive,idxMax,int64_t,min max mean,1024,0.2,False,940370.6,12191.627930674404
naive,idxMax,int64_t,min max mean,1024,0.25,True,923658.3,14430.619314114309
naive,idxMax,int64_t,min max mean,1024,1.0,True,1032806.8,58937.01461692436
naive,idxMax,int64_t,min max mean,2048,0.001,False,3121907.9,281281.98210828693
naive,idxMax,int64_t,min max mean,2048,0.01,False,3066692.0,220669.61231770102
naive,idxMax,int64_t,min max mean,2048,0.05,False,3207915.4,314150.0268312012
naive,idxMax,int64_t,min max mean,2048,0.1,False,3148612.8,354324.40790727985
naive,idxMax,int64_t,min max mean,2048,0.2,False,3120090.3,275784.0516136776
naive,idxMax,int64_t,min max mean,2048,0.25,True,3134467.5,302933.5336814368
naive,idxMax,int64_t,min max mean,2048,1.0,True,4180372.5,212740.78403814955
naive,idxMax,int64_t,min max mean,4096,0.001,False,13231813.6,2343478.951963995
naive,idxMax,int64_t,min max mean,4096,0.01,False,12168670.2,28277.201923497312
naive,idxMax,int64_t,min max mean,4096,0.05,False,12233731.7,89761.23918367444
naive,idxMax,int64_t,min max mean,4096,0.1,False,12831410.9,1744355.662444474
naive,idxMax,int64_t,min max mean,4096,0.2,False,12266488.3,118159.9641644513
naive,idxMax,int64_t,min max mean,4096,0.25,True,12801715.7,1831626.027701194
naive,idxMax,int64_t,min max mean,4096,1.0,True,12408280.5,679528.3468835407
naive,idxMax,int64_t,,1024,0.001,False,967585.4,34758.67093092327
naive,idxMax,int64_t,,1024,0.01,False,975284.15,34475.54540353283
naive,idxMax,int64_t,,1024,0.05,False,986229.45,9239.305775213566
naive,idxMax,int64_t,,1024,0.1,False,967788.2,17463.810043087735
naive,idxMax,int64_t,,1024,0.2,False,942121.45,43503.36254211911
naive,idxMax,int64_t,,1024,0.25,True,915676.95,14216.339922316252
naive,idxMax,int64_t,,1024,1.0,True,998249.65,25171.36427157068
naive,idxMax,int64_t,,2048,0.001,False,3163730.85,365947.945890536
naive,idxMax,int64_t,,2048,0.01,False,3109603.0,277146.0634763212
naive,idxMax,int64_t,,2048,0.05,False,3086796.7,145917.36496751563
naive,idxMax,int64_t,,2048,0.1,False,3227798.45,481460.0331708668
naive,idxMax,int64_t,,2048,0.2,False,3098875.35,346293.15228274977
naive,idxMax,int64_t,,2048,0.25,True,3320528.55,487451.281713306
naive,idxMax,int64_t,,2048,1.0,True,4120913.45,142050.2941120262
naive,idxMax,int64_t,,4096,0.001,False,12599056.15,1486147.4973792676
naive,idxMax,int64_t,,4096,0.01,False,13013628.4,2006515.892909881
naive,idxMax,int64_t,,4096,0.05,False,13184790.05,2092089.6971066606
naive,idxMax,int64_t,,4096,0.1,False,12648777.65,985723.5909747918
naive,idxMax,int64_t,,4096,0.2,False,12662928.15,1141496.5465329543
naive,idxMax,int64_t,,4096,0.25,True,12706181.5,1118205.2802387592
naive,idxMax,int64_t,,4096,1.0,True,12562208.45,892937.5198139698
naive,idxMin,double,max,1024,0.001,False,1522052.4,9562.010018819261
naive,idxMin,double,max,1024,0.01,False,1518557.2,5333.264828726731
naive,idxMin,double,max,1024,0.05,False,1522058.4,23923.78717789749
naive,idxMin,double,max,1024,0.1,False,1471028.9,146118.31029412814
naive,idxMin,double,max,1024,0.2,False,1462505.0,144649.37489591085
naive,idxMin,double,max,1024,0.25,True,1410935.6,188051.84172409005
naive,idxMin,double,max,1024,1.0,True,1514773.2,15683.025457835349
naive,idxMin,double,max,2048,0.001,False,5491752.2,324483.0395039675
naive,idxMin,double,max,2048,0.01,False,5339803.2,13101.702177791793
naive,idxMin,double,max,2048,0.05,False,5354295.2,64824.567326490214
naive,idxMin,double,max,2048,0.1,False,5421307.0,200278.48065908448
naive,idxMin,double,max,2048,0.2,False,5523425.6,367110.7153943859
naive,idxMin,double,max,2048,0.25,True,5445991.9,282329.01902781986
naive,idxMin,double,max,2048,1.0,True,5582143.1,347458.63680202595
naive,idxMin,double,max,4096,0.001,False,22145573.3,1887742.222465065
naive,idxMin,double,max,4096,0.01,False,21441816.8,68575.33229117055
naive,idxMin,double,max,4096,0.05,False,23076459.1,2159245.283267304
naive,idxMin,double,max,4096,0.1,False,21629996.5,524658.8128118758
naive,idxMin,double,max,4096,0.2,False,22411118.5,2146802.4186572745
naive,idxMin,double,max,4096,0.25,True,21889524.4,1191355.1982067593
naive,idxMin,double,max,4096,1.0,True,21767954.3,1072448.9730676177
naive,idxMin,double,mean,1024,0.001,False,1477942.5,145903.47705341972
naive,idxMin,double,mean,1024,0.01,False,1478858.1,147505.57540306362
naive,idxMin,double,mean,1024,0.05,False,1519153.4,10505.858611058678
naive,idxMin,double,mean,1024,0.1,False,1517014.8,8385.038472051136
naive,idxMin,double,mean,1024,0.2,False,1509353.7,8797.917910884747
naive,idxMin,double,mean,1024,0.25,True,1509193.0,7296.89725537891
naive,idxMin,double,mean,1024,1.0,True,1514355.8,9312.195287184799
naive,idxMin,double,mean,2048,0.001,False,5345766.9,8152.589833230169
naive,idxMin,double,mean,2048,0.01,False,5518687.5,461520.28081626294
naive,idxMin,double,mean,2048,0.05,False,5434726.6,257991.28592613785
naive,idxMin,double,mean,2048,0.1,False,5507690.3,357416.9060781199
naive,idxMin,double,mean,2048,0.2,False,5635363.8,609319.451368638
naive,idxMin,double,mean,2048,0.25,True,5341332.6,9859.76712819436
naive,idxMin,double,mean,2048,1.0,True,6126241.8,9977.417911352528
naive,idxMin,double,mean,4096,0.001,False,21497536.0,127919.5049952204
naive,idxMin,double,mean,4096,0.01,False,21760979.9,867494.956637975
naive,idxMin,double,mean,4096,0.05,False,22455536.4,2189111.8780623847
naive,idxMin,double,mean,4096,0.1,False,22064349.6,1933987.0791290326
naive,idxMin,double,mean,4096,0.2,False,21752975.6,851233.2220586006
naive,idxMin,double,mean,4096,0.25,True,21854754.8,1123942.6975314075
naive,idxMin,double,mean,4096,1.0,True,21433183.7,93726.59629303603
naive,idxMin,double,min,1024,0.001,False,1515533.7,9825.574250111042
naive,idxMin,double,min,1024,0.01,False,1474199.7,145839.09762554528
naive,idxMin,double,min,1024,0.05,False,1516060.1,10129.863281407066
naive,idxMin,double,min,1024,0.1,False,1512031.8,10786.255562829334
naive,idxMin,double,min,1024,0.2,False,1462705.7,145562.9762756771
naive,idxMin,double,min,1024,0.25,True,1497438.7,25997.51799713023
