mode,op,element_type,analysis,n,sparsity,select-matrix-repr,mean_ns,std_ns
naive,,int64_t,min max,4096,0.2,False,43294.5,1707.9423780287982
naive,,int64_t,min max,4096,0.25,True,42500.2,538.7091154891588
naive,,int64_t,min max,4096,1.0,True,40882.8,886.8354225371611
naive,,int64_t,min max mean,1024,0.001,False,34834.7,2544.4795167403313
naive,,int64_t,min max mean,1024,0.01,False,39782.0,1464.8569137556667
naive,,int64_t,min max mean,1024,0.05,False,40933.1,476.7807439251067
naive,,int64_t,min max mean,1024,0.1,False,40827.9,765.6459074242833
naive,,int64_t,min max mean,1024,0.2,False,40800.2,515.6561731317574
naive,,int64_t,min max mean,1024,0.25,True,40705.5,602.9490949583644
naive,,int64_t,min max mean,1024,1.0,True,40284.0,362.8354386709705
naive,,int64_t,min max mean,2048,0.001,False,39720.9,2911.1732056566702
naive,,int64_t,min max mean,2048,0.01,False,44069.2,761.4890091860233
naive,,int64_t,min max mean,2048,0.05,False,45056.7,1115.52917686829
naive,,int64_t,min max mean,2048,0.1,False,44201.5,753.5156490301536
naive,,int64_t,min max mean,2048,0.2,False,45454.6,6287.162267492208
naive,,int64_t,min max mean,2048,0.25,True,42971.2,687.0728248640498
naive,,int64_t,min max mean,2048,1.0,True,42264.8,1927.9821806461005
naive,,int64_t,min max mean,4096,0.001,False,49156.8,1724.785642075878
naive,,int64_t,min max mean,4096,0.01,False,51852.6,2154.6971016827397
naive,,int64_t,min max mean,4096,0.05,False,51288.2,1218.2762686134336
naive,,int64_t,min max mean,4096,0.1,False,49926.1,412.61185688785605
naive,,int64_t,min max mean,4096,0.2,False,48978.1,1369.559576408902
naive,,int64_t,min max mean,4096,0.25,True,47861.5,612.1632407563625
naive,,int64_t,min max mean,4096,1.0,True,45939.4,358.27804224590227
naive,,int64_t,,1024,0.001,False,27929.7,589.7052876783362
naive,,int64_t,,1024,0.01,False,30513.0,4464.777780761205
naive,,int64_t,,1024,0.05,False,33193.6,5187.036659332876
naive,,int64_t,,1024,0.1,False,34443.1,5974.7825672835825
naive,,int64_t,,1024,0.2,False,33183.25,5562.674119096243
naive,,int64_t,,1024,0.25,True,33406.65,5831.939338676285
naive,,int64_t,,1024,1.0,True,31649.85,5815.7039785213865
naive,,int64_t,,2048,0.001,False,31611.2,974.6007873672389
naive,,int64_t,,2048,0.01,False,34343.3,1951.4961089271717
naive,,int64_t,,2048,0.05,False,35082.0,1756.5083786337404
naive,,int64_t,,2048,0.1,False,38896.15,7245.569312381623
naive,,int64_t,,2048,0.2,False,36815.65,5304.482933033351
naive,,int64_t,,2048,0.25,True,34120.65,1657.9342973141381
naive,,int64_t,,2048,1.0,True,37614.35,8172.208065175919
naive,,int64_t,,4096,0.001,False,39304.2,1324.9968262126836
naive,,int64_t,,4096,0.01,False,45297.4,7283.124672108371
naive,,int64_t,,4096,0.05,False,46230.55,7132.779413052332
naive,,int64_t,,4096,0.1,False,43341.15,5632.984908227234
naive,,int64_t,,4096,0.2,False,42975.85,7329.83096146727
naive,,int64_t,,4096,0.25,True,41276.9,5724.862553165062
naive,,int64_t,,4096,1.0,True,37689.65,6897.757150926516
vectorized,,int64_t,max,1024,0.001,False,4115364.0,19411.18342033212
vectorized,,int64_t,max,1024,0.01,False,4138078.0,20720.413611272885
vectorized,,int64_t,max,1024,0.05,False,4280429.7,465657.0874739026
vectorized,,int64_t,max,1024,0.1,False,4093764.2,112110.52292051408
vectorized,,int64_t,max,1024,0.2,False,4107556.9,112799.3223181474
vectorized,,int64_t,max,1024,0.25,True,4131926.9,10618.664787899532
