op,element_type,analysis,n,sparsity,time_ns
SUM,int64_t,"AnalysisFlag::min",2048,0.01,66384
SUM,int64_t,"AnalysisFlag::min",2048,0.01,72843
SUM,int64_t,"AnalysisFlag::min",4096,0.01,261079
SUM,int64_t,"AnalysisFlag::min",4096,0.01,284945
SUM,int64_t,"AnalysisFlag::min",4096,0.01,260844
SUM,int64_t,"AnalysisFlag::min",4096,0.01,260840
SUM,int64_t,"AnalysisFlag::min",4096,0.01,275031
SUM,int64_t,"AnalysisFlag::min",4096,0.01,261164
SUM,int64_t,"AnalysisFlag::min",4096,0.01,262134
SUM,int64_t,"AnalysisFlag::min",4096,0.01,266302
SUM,int64_t,"AnalysisFlag::min",4096,0.01,270478
SUM,int64_t,"AnalysisFlag::min",4096,0.01,274020
SUM,double,"AnalysisFlag::min",1024,0.05,84784
SUM,double,"AnalysisFlag::min",1024,0.05,84477
SUM,double,"AnalysisFlag::min",1024,0.05,95025
SUM,double,"AnalysisFlag::min",1024,0.05,95129
SUM,double,"AnalysisFlag::min",1024,0.05,83875
SUM,double,"AnalysisFlag::min",1024,0.05,84446
SUM,double,"AnalysisFlag::min",1024,0.05,86116
SUM,double,"AnalysisFlag::min",1024,0.05,84571
SUM,double,"AnalysisFlag::min",1024,0.05,84511
SUM,double,"AnalysisFlag::min",1024,0.05,83934
SUM,double,"AnalysisFlag::min",2048,0.05,329535
SUM,double,"AnalysisFlag::min",2048,0.05,327647
SUM,double,"AnalysisFlag::min",2048,0.05,328011
SUM,double,"AnalysisFlag::min",2048,0.05,327927
SUM,double,"AnalysisFlag::min",2048,0.05,327863
SUM,double,"AnalysisFlag::min",2048,0.05,327789
SUM,double,"AnalysisFlag::min",2048,0.05,327776
SUM,double,"AnalysisFlag::min",2048,0.05,328026
SUM,double,"AnalysisFlag::min",2048,0.05,328029
SUM,double,"AnalysisFlag::min",2048,0.05,328068
SUM,double,"AnalysisFlag::min",4096,0.05,1.30617e+06
