mode,op,element_type,analysis,n,sparsity,seed,time_ns,select-matrix-repr
vectorized,Add,double,,1024,0.25,8,57,True
naive,Add,double,,1024,0.25,8,3915877,True
vectorized,Add,double,,1024,0.25,9,60,True
naive,Add,double,,1024,0.25,9,3577296,True
vectorized,Add,double,,1024,1.0,0,93,True
naive,Add,double,,1024,1.0,0,5284672,True
vectorized,Add,double,,1024,1.0,1,72,True
naive,Add,double,,1024,1.0,1,5087834,True
vectorized,Add,double,,1024,1.0,2,63,True
naive,Add,double,,1024,1.0,2,4879962,True
vectorized,Add,double,,1024,1.0,3,74,True
naive,Add,double,,1024,1.0,3,4873667,True
vectorized,Add,double,,1024,1.0,4,74,True
naive,Add,double,,1024,1.0,4,4889399,True
vectorized,Add,double,,1024,1.0,5,69,True
naive,Add,double,,1024,1.0,5,4885053,True
vectorized,Add,double,,1024,1.0,6,67,True
naive,Add,double,,1024,1.0,6,4879440,True
vectorized,Add,double,,1024,1.0,7,71,True
naive,Add,double,,1024,1.0,7,4887149,True
vectorized,Add,double,,1024,1.0,8,108,True
naive,Add,double,,1024,1.0,8,4876898,True
vectorized,Add,double,,1024,1.0,9,94,True
naive,Add,double,,1024,1.0,9,5194245,True
vectorized,Add,double,,2048,0.001,0,172,True
naive,Add,double,,2048,0.001,0,100002,True
vectorized,Add,double,,2048,0.001,1,67,True
naive,Add,double,,2048,0.001,1,133567,True
vectorized,Add,double,,2048,0.001,2,67,True
naive,Add,double,,2048,0.001,2,135721,True
vectorized,Add,double,,2048,0.001,3,73,True
naive,Add,double,,2048,0.001,3,134739,True
vectorized,Add,double,,2048,0.001,4,78,True
naive,Add,double,,2048,0.001,4,146093,True
vectorized,Add,double,,2048,0.001,5,77,True
naive,Add,double,,2048,0.001,5,119125,True
vectorized,Add,double,,2048,0.001,6,63,True
naive,Add,double,,2048,0.001,6,144488,True
vectorized,Add,double,,2048,0.001,7,67,True
naive,Add,double,,2048,0.001,7,136147,True
vectorized,Add,double,,2048,0.001,8,78,True
naive,Add,double,,2048,0.001,8,133893,True
vectorized,Add,double,,2048,0.001,9,63,True
naive,Add,double,,2048,0.001,9,136954,True
vectorized,Add,double,,2048,0.01,0,126,True
naive,Add,double,,2048,0.01,0,500595,True
vectorized,Add,double,,2048,0.01,1,80,True
naive,Add,double,,2048,0.01,1,1050433,True
vectorized,Add,double,,2048,0.01,2,66,True
naive,Add,double,,2048,0.01,2,1044500,True
vectorized,Add,double,,2048,0.01,3,79,True
naive,Add,double,,2048,0.01,3,1062765,True
vectorized,Add,double,,2048,0.01,4,92,True
naive,Add,double,,2048,0.01,4,1043507,True
vectorized,Add,double,,2048,0.01,5,141,True
naive,Add,double,,2048,0.01,5,1045248,True
vectorized,Add,double,,2048,0.01,6,76,True
naive,Add,double,,2048,0.01,6,1076041,True
vectorized,Add,double,,2048,0.01,7,71,True
naive,Add,double,,2048,0.01,7,1084319,True
vectorized,Add,double,,2048,0.01,8,79,True
naive,Add,double,,2048,0.01,8,1087296,True
vectorized,Add,double,,2048,0.01,9,78,True
naive,Add,double,,2048,0.01,9,1043742,True
vectorized,Add,double,,2048,0.05,0,56,True
naive,Add,double,,2048,0.05,0,1577908,True
vectorized,Add,double,,2048,0.05,1,62,True
naive,Add,double,,2048,0.05,1,4033894,True
vectorized,Add,double,,2048,0.05,2,78,True
naive,Add,double,,2048,0.05,2,4200004,True
vectorized,Add,double,,2048,0.05,3,69,True
naive,Add,double,,2048,0.05,3,4429594,True
vectorized,Add,double,,2048,0.05,4,49,True
naive,Add,double,,2048,0.05,4,3985375,True
vectorized,Add,double,,2048,0.05,5,69,True
naive,Add,double,,2048,0.05,5,4351771,True
vectorized,Add,double,,2048,0.05,6,57,True
naive,Add,double,,2048,0.05,6,3930282,True
vectorized,Add,double,,2048,0.05,7,56,True
naive,Add,double,,2048,0.05,7,3966461,True
vectorized,Add,double,,2048,0.05,8,58,True
naive,Add,double,,2048,0.05,8,4167847,True
vectorized,Add,double,,2048,0.05,9,56,True
naive,Add,double,,2048,0.05,9,4304499,True
vectorized,Add,double,,2048,0.1,0,79,True
naive,Add,double,,2048,0.1,0,3164367,True
vectorized,Add,double,,2048,0.1,1,56,True
naive,Add,double,,2048,0.1,1,7894181,True
vectorized,Add,double,,2048,0.1,2,68,True
naive,Add,double,,2048,0.1,2,8205701,True
vectorized,Add,double,,2048,0.1,3,67,True
naive,Add,double,,2048,0.1,3,7805211,True
vectorized,Add,double,,2048,0.1,4,67,True
naive,Add,double,,2048,0.1,4,8298332,True
vectorized,Add,double,,2048,0.1,5,69,True
naive,Add,double,,2048,0.1,5,8243694,True
vectorized,Add,double,,2048,0.1,6,78,True
naive,Add,double,,2048,0.1,6,8195973,True
vectorized,Add,double,,2048,0.1,7,84,True
naive,Add,double,,2048,0.1,7,7738807,True
vectorized,Add,double,,2048,0.1,8,67,True
naive,Add,double,,2048,0.1,8,7885097,True
vectorized,Add,double,,2048,0.1,9,81,True
naive,Add,double,,2048,0.1,9,8208102,True
vectorized,Add,double,,2048,0.2,0,60,False
naive,Add,double,,2048,0.2,0,15330088,False
vectorized,Add,double,,2048,0.2,1,56,False
naive,Add,double,,2048,0.2,1,15521076,False
vectorized,Add,double,,2048,0.2,2,63,False
naive,Add,double,,2048,0.2,2,14343578,False
vectorized,Add,double,,2048,0.2,3,48,False
naive,Add,double,,2048,0.2,3,15240748,False
vectorized,Add,double,,2048,0.2,4,69,False
naive,Add,double,,2048,0.2,4,15527724,False
vectorized,Add,double,,2048,0.2,5,48,False
naive,Add,double,,2048,0.2,5,14450322,False
vectorized,Add,double,,2048,0.2,6,48,False
naive,Add,double,,2048,0.2,6,15302650,False
vectorized,Add,double,,2048,0.2,7,58,False
naive,Add,double,,2048,0.2,7,15329209,False
vectorized,Add,double,,2048,0.2,8,60,False
naive,Add,double,,2048,0.2,8,14408706,False
vectorized,Add,double,,2048,0.2,9,58,False
naive,Add,double,,2048,0.2,9,14813495,False
vectorized,Add,double,,2048,0.25,0,65,True
naive,Add,double,,2048,0.25,0,15312290,True
vectorized,Add,double,,2048,0.25,1,56,True
naive,Add,double,,2048,0.25,1,15366964,True
vectorized,Add,double,,2048,0.25,2,48,True
naive,Add,double,,2048,0.25,2,15358032,True
