mode,op,element_type,analysis,n,sparsity,seed,time_ns,select-matrix-repr
vectorized,idxMin,double,,1024,0.25,1,1503305,True
naive,idxMin,double,,1024,0.25,1,1508107,True
vectorized,idxMin,double,,1024,0.25,2,1527480,True
naive,idxMin,double,,1024,0.25,2,1515891,True
vectorized,idxMin,double,,1024,0.25,3,1507319,True
naive,idxMin,double,,1024,0.25,3,1502836,True
vectorized,idxMin,double,,1024,0.25,4,1507568,True
naive,idxMin,double,,1024,0.25,4,1510483,True
vectorized,idxMin,double,,1024,0.25,5,1514471,True
naive,idxMin,double,,1024,0.25,5,1502718,True
vectorized,idxMin,double,,1024,0.25,6,1504419,True
naive,idxMin,double,,1024,0.25,6,1508950,True
vectorized,idxMin,double,,1024,0.25,7,1518603,True
naive,idxMin,double,,1024,0.25,7,1503611,True
vectorized,idxMin,double,,1024,0.25,8,1500118,True
naive,idxMin,double,,1024,0.25,8,1493071,True
vectorized,idxMin,double,,1024,0.25,9,1520778,True
naive,idxMin,double,,1024,0.25,9,1494810,True
vectorized,idxMin,double,,1024,1.0,0,1518728,True
naive,idxMin,double,,1024,1.0,0,1057194,True
vectorized,idxMin,double,,1024,1.0,1,1560044,True
naive,idxMin,double,,1024,1.0,1,1501200,True
vectorized,idxMin,double,,1024,1.0,2,1532476,True
naive,idxMin,double,,1024,1.0,2,1520987,True
vectorized,idxMin,double,,1024,1.0,3,1517599,True
naive,idxMin,double,,1024,1.0,3,1508980,True
vectorized,idxMin,double,,1024,1.0,4,1520611,True
naive,idxMin,double,,1024,1.0,4,1500728,True
vectorized,idxMin,double,,1024,1.0,5,1520423,True
naive,idxMin,double,,1024,1.0,5,1504298,True
vectorized,idxMin,double,,1024,1.0,6,1510349,True
naive,idxMin,double,,1024,1.0,6,1503040,True
vectorized,idxMin,double,,1024,1.0,7,1513746,True
naive,idxMin,double,,1024,1.0,7,1057603,True
vectorized,idxMin,double,,1024,1.0,8,1506267,True
naive,idxMin,double,,1024,1.0,8,1534692,True
vectorized,idxMin,double,,1024,1.0,9,1511571,True
naive,idxMin,double,,1024,1.0,9,1505289,True
vectorized,idxMin,double,,2048,0.001,0,5372854,False
naive,idxMin,double,,2048,0.001,0,5331555,False
vectorized,idxMin,double,,2048,0.001,1,5373851,False
naive,idxMin,double,,2048,0.001,1,6032991,False
vectorized,idxMin,double,,2048,0.001,2,5336963,False
naive,idxMin,double,,2048,0.001,2,6049970,False
vectorized,idxMin,double,,2048,0.001,3,5339544,False
naive,idxMin,double,,2048,0.001,3,5955575,False
vectorized,idxMin,double,,2048,0.001,4,5359500,False
naive,idxMin,double,,2048,0.001,4,5382947,False
vectorized,idxMin,double,,2048,0.001,5,5353990,False
naive,idxMin,double,,2048,0.001,5,5347275,False
vectorized,idxMin,double,,2048,0.001,6,5345375,False
naive,idxMin,double,,2048,0.001,6,5359792,False
vectorized,idxMin,double,,2048,0.001,7,5357549,False
naive,idxMin,double,,2048,0.001,7,5370184,False
vectorized,idxMin,double,,2048,0.001,8,5337450,False
naive,idxMin,double,,2048,0.001,8,5963974,False
vectorized,idxMin,double,,2048,0.001,9,5528420,False
naive,idxMin,double,,2048,0.001,9,5332441,False
vectorized,idxMin,double,,2048,0.01,0,5341672,False
naive,idxMin,double,,2048,0.01,0,6302024,False
vectorized,idxMin,double,,2048,0.01,1,5357419,False
naive,idxMin,double,,2048,0.01,1,5313814,False
vectorized,idxMin,double,,2048,0.01,2,5356114,False
naive,idxMin,double,,2048,0.01,2,5360741,False
vectorized,idxMin,double,,2048,0.01,3,5356319,False
naive,idxMin,double,,2048,0.01,3,5322581,False
vectorized,idxMin,double,,2048,0.01,4,5340218,False
naive,idxMin,double,,2048,0.01,4,5327934,False
vectorized,idxMin,double,,2048,0.01,5,5358287,False
naive,idxMin,double,,2048,0.01,5,5353488,False
vectorized,idxMin,double,,2048,0.01,6,5348121,False
naive,idxMin,double,,2048,0.01,6,5393391,False
vectorized,idxMin,double,,2048,0.01,7,5347176,False
naive,idxMin,double,,2048,0.01,7,5337807,False
vectorized,idxMin,double,,2048,0.01,8,5460942,False
naive,idxMin,double,,2048,0.01,8,6453181,False
vectorized,idxMin,double,,2048,0.01,9,5348898,False
naive,idxMin,double,,2048,0.01,9,5341783,False
vectorized,idxMin,double,,2048,0.05,0,5324787,False
naive,idxMin,double,,2048,0.05,0,5336777,False
vectorized,idxMin,double,,2048,0.05,1,5332530,False
naive,idxMin,double,,2048,0.05,1,5332091,False
vectorized,idxMin,double,,2048,0.05,2,5300882,False
naive,idxMin,double,,2048,0.05,2,5334183,False
vectorized,idxMin,double,,2048,0.05,3,5373208,False
naive,idxMin,double,,2048,0.05,3,5337710,False
