mode,op,element_type,analysis,n,sparsity,seed,time_ns,select-matrix-repr
vectorized,,int64_t,,1024,0.25,5,28195,True
naive,,int64_t,,1024,0.25,5,31932,True
vectorized,,int64_t,,1024,0.25,6,27872,True
naive,,int64_t,,1024,0.25,6,33158,True
vectorized,,int64_t,,1024,0.25,7,27911,True
naive,,int64_t,,1024,0.25,7,31530,True
vectorized,,int64_t,,1024,0.25,8,29011,True
naive,,int64_t,,1024,0.25,8,32464,True
vectorized,,int64_t,,1024,0.25,9,27698,True
naive,,int64_t,,1024,0.25,9,31727,True
vectorized,,int64_t,,1024,1.0,0,28506,True
naive,,int64_t,,1024,1.0,0,30419,True
vectorized,,int64_t,,1024,1.0,1,27844,True
naive,,int64_t,,1024,1.0,1,30069,True
vectorized,,int64_t,,1024,1.0,2,27679,True
naive,,int64_t,,1024,1.0,2,28307,True
vectorized,,int64_t,,1024,1.0,3,27993,True
naive,,int64_t,,1024,1.0,3,47591,True
vectorized,,int64_t,,1024,1.0,4,27826,True
naive,,int64_t,,1024,1.0,4,31664,True
vectorized,,int64_t,,1024,1.0,5,27639,True
naive,,int64_t,,1024,1.0,5,31095,True
vectorized,,int64_t,,1024,1.0,6,27528,True
naive,,int64_t,,1024,1.0,6,27450,True
vectorized,,int64_t,,1024,1.0,7,27959,True
naive,,int64_t,,1024,1.0,7,32088,True
vectorized,,int64_t,,1024,1.0,8,28332,True
naive,,int64_t,,1024,1.0,8,27012,True
vectorized,,int64_t,,1024,1.0,9,28430,True
naive,,int64_t,,1024,1.0,9,27534,True
vectorized,,int64_t,,2048,0.001,0,31910,False
naive,,int64_t,,2048,0.001,0,31305,False
vectorized,,int64_t,,2048,0.001,1,32562,False
naive,,int64_t,,2048,0.001,1,31290,False
vectorized,,int64_t,,2048,0.001,2,31854,False
naive,,int64_t,,2048,0.001,2,32185,False
vectorized,,int64_t,,2048,0.001,3,30914,False
naive,,int64_t,,2048,0.001,3,31678,False
vectorized,,int64_t,,2048,0.001,4,32135,False
naive,,int64_t,,2048,0.001,4,31663,False
vectorized,,int64_t,,2048,0.001,5,31024,False
naive,,int64_t,,2048,0.001,5,31186,False
vectorized,,int64_t,,2048,0.001,6,32212,False
naive,,int64_t,,2048,0.001,6,31811,False
vectorized,,int64_t,,2048,0.001,7,30885,False
naive,,int64_t,,2048,0.001,7,31062,False
vectorized,,int64_t,,2048,0.001,8,31413,False
naive,,int64_t,,2048,0.001,8,31382,False
vectorized,,int64_t,,2048,0.001,9,30718,False
naive,,int64_t,,2048,0.001,9,30985,False
vectorized,,int64_t,,2048,0.01,0,31399,False
naive,,int64_t,,2048,0.01,0,35650,False
vectorized,,int64_t,,2048,0.01,1,37295,False
naive,,int64_t,,2048,0.01,1,35454,False
vectorized,,int64_t,,2048,0.01,2,32853,False
naive,,int64_t,,2048,0.01,2,32568,False
vectorized,,int64_t,,2048,0.01,3,32057,False
naive,,int64_t,,2048,0.01,3,31946,False
vectorized,,int64_t,,2048,0.01,4,33132,False
naive,,int64_t,,2048,0.01,4,36235,False
vectorized,,int64_t,,2048,0.01,5,32617,False
naive,,int64_t,,2048,0.01,5,32335,False
vectorized,,int64_t,,2048,0.01,6,32493,False
naive,,int64_t,,2048,0.01,6,34591,False
vectorized,,int64_t,,2048,0.01,7,31677,False
naive,,int64_t,,2048,0.01,7,33704,False
vectorized,,int64_t,,2048,0.01,8,31547,False
naive,,int64_t,,2048,0.01,8,34726,False
vectorized,,int64_t,,2048,0.01,9,31601,False
naive,,int64_t,,2048,0.01,9,32134,False
vectorized,,int64_t,,2048,0.05,0,32359,False
naive,,int64_t,,2048,0.05,0,36065,False
vectorized,,int64_t,,2048,0.05,1,32135,False
naive,,int64_t,,2048,0.05,1,33690,False
vectorized,,int64_t,,2048,0.05,2,32513,False
naive,,int64_t,,2048,0.05,2,32669,False
vectorized,,int64_t,,2048,0.05,3,32577,False
naive,,int64_t,,2048,0.05,3,35616,False
vectorized,,int64_t,,2048,0.05,4,32243,False
naive,,int64_t,,2048,0.05,4,31123,False
vectorized,,int64_t,,2048,0.05,5,31968,False
naive,,int64_t,,2048,0.05,5,36121,False
vectorized,,int64_t,,2048,0.05,6,32548,False
naive,,int64_t,,2048,0.05,6,37478,False
vectorized,,int64_t,,2048,0.05,7,32075,False
naive,,int64_t,,2048,0.05,7,31620,False
vectorized,,int64_t,,2048,0.05,8,32467,False
naive,,int64_t,,2048,0.05,8,35863,False
vectorized,,int64_t,,2048,0.05,9,32328,False
naive,,int64_t,,2048,0.05,9,35834,False
vectorized,,int64_t,,2048,0.1,0,31927,False
naive,,int64_t,,2048,0.1,0,35104,False
vectorized,,int64_t,,2048,0.1,1,31943,False
naive,,int64_t,,2048,0.1,1,33833,False
vectorized,,int64_t,,2048,0.1,2,32977,False
naive,,int64_t,,2048,0.1,2,33561,False
vectorized,,int64_t,,2048,0.1,3,31572,False
naive,,int64_t,,2048,0.1,3,35371,False
vectorized,,int64_t,,2048,0.1,4,31611,False
naive,,int64_t,,2048,0.1,4,33380,False
vectorized,,int64_t,,2048,0.1,5,31553,False
naive,,int64_t,,2048,0.1,5,36427,False
vectorized,,int64_t,,2048,0.1,6,31857,False
naive,,int64_t,,2048,0.1,6,36066,False
vectorized,,int64_t,,2048,0.1,7,32308,False
naive,,int64_t,,2048,0.1,7,52054,False
vectorized,,int64_t,,2048,0.1,8,39606,False
naive,,int64_t,,2048,0.1,8,54178,False
vectorized,,int64_t,,2048,0.1,9,31954,False
