mode,op,element_type,analysis,n,sparsity,seed,time_ns,select-matrix-repr
naive,idxMin,double,,1024,0.25,8,1078896,True
vectorized,idxMin,double,,1024,0.25,9,1083380,True
naive,idxMin,double,,1024,0.25,9,1080121,True
vectorized,idxMin,double,,1024,1.0,0,1136803,True
naive,idxMin,double,,1024,1.0,0,1169156,True
vectorized,idxMin,double,,1024,1.0,1,1178239,True
naive,idxMin,double,,1024,1.0,1,1130111,True
vectorized,idxMin,double,,1024,1.0,2,1135267,True
naive,idxMin,double,,1024,1.0,2,1152509,True
vectorized,idxMin,double,,1024,1.0,3,1137323,True
naive,idxMin,double,,1024,1.0,3,1146648,True
vectorized,idxMin,double,,1024,1.0,4,1151709,True
naive,idxMin,double,,1024,1.0,4,1200132,True
vectorized,idxMin,double,,1024,1.0,5,1179996,True
naive,idxMin,double,,1024,1.0,5,1134800,True
vectorized,idxMin,double,,1024,1.0,6,1167004,True
naive,idxMin,double,,1024,1.0,6,1137208,True
vectorized,idxMin,double,,1024,1.0,7,1135641,True
naive,idxMin,double,,1024,1.0,7,1155824,True
vectorized,idxMin,double,,1024,1.0,8,1139673,True
naive,idxMin,double,,1024,1.0,8,1166953,True
vectorized,idxMin,double,,1024,1.0,9,1175809,True
naive,idxMin,double,,1024,1.0,9,1156209,True
vectorized,idxMin,double,,2048,0.001,0,3307810,False
naive,idxMin,double,,2048,0.001,0,3719939,False
vectorized,idxMin,double,,2048,0.001,1,3353667,False
naive,idxMin,double,,2048,0.001,1,3287501,False
vectorized,idxMin,double,,2048,0.001,2,3321452,False
naive,idxMin,double,,2048,0.001,2,3313448,False
vectorized,idxMin,double,,2048,0.001,3,3319999,False
naive,idxMin,double,,2048,0.001,3,3211932,False
vectorized,idxMin,double,,2048,0.001,4,3324052,False
naive,idxMin,double,,2048,0.001,4,3266055,False
vectorized,idxMin,double,,2048,0.001,5,3284140,False
naive,idxMin,double,,2048,0.001,5,3301332,False
vectorized,idxMin,double,,2048,0.001,6,3296253,False
naive,idxMin,double,,2048,0.001,6,3295528,False
vectorized,idxMin,double,,2048,0.001,7,3326742,False
naive,idxMin,double,,2048,0.001,7,3266273,False
vectorized,idxMin,double,,2048,0.001,8,3313401,False
naive,idxMin,double,,2048,0.001,8,3395316,False
vectorized,idxMin,double,,2048,0.001,9,3326519,False
naive,idxMin,double,,2048,0.001,9,3311692,False
