mode,op,element_type,analysis,n,sparsity,seed,time_ns,select-matrix-repr
naive,exp,double,,1024,0.25,7,9784375,True
vectorized,exp,double,,1024,0.25,8,86,True
naive,exp,double,,1024,0.25,8,11480847,True
vectorized,exp,double,,1024,0.25,9,73,True
naive,exp,double,,1024,0.25,9,11455031,True
vectorized,exp,double,,1024,1.0,0,92,True
naive,exp,double,,1024,1.0,0,9528765,True
vectorized,exp,double,,1024,1.0,1,78,True
naive,exp,double,,1024,1.0,1,9212681,True
vectorized,exp,double,,1024,1.0,2,86,True
naive,exp,double,,1024,1.0,2,9440153,True
vectorized,exp,double,,1024,1.0,3,93,True
naive,exp,double,,1024,1.0,3,9226484,True
vectorized,exp,double,,1024,1.0,4,126,True
naive,exp,double,,1024,1.0,4,9247579,True
vectorized,exp,double,,1024,1.0,5,85,True
naive,exp,double,,1024,1.0,5,9205134,True
vectorized,exp,double,,1024,1.0,6,80,True
naive,exp,double,,1024,1.0,6,9217290,True
vectorized,exp,double,,1024,1.0,7,85,True
naive,exp,double,,1024,1.0,7,9271415,True
vectorized,exp,double,,1024,1.0,8,74,True
naive,exp,double,,1024,1.0,8,9261347,True
vectorized,exp,double,,1024,1.0,9,86,True
naive,exp,double,,1024,1.0,9,9246909,True
vectorized,exp,double,,2048,0.001,0,70,False
naive,exp,double,,2048,0.001,0,27136531,False
vectorized,exp,double,,2048,0.001,1,62,False
naive,exp,double,,2048,0.001,1,27085922,False
vectorized,exp,double,,2048,0.001,2,61,False
naive,exp,double,,2048,0.001,2,28378103,False
vectorized,exp,double,,2048,0.001,3,69,False
naive,exp,double,,2048,0.001,3,27090196,False
vectorized,exp,double,,2048,0.001,4,60,False
naive,exp,double,,2048,0.001,4,27182028,False
vectorized,exp,double,,2048,0.001,5,69,False
naive,exp,double,,2048,0.001,5,26417290,False
vectorized,exp,double,,2048,0.001,6,59,False
naive,exp,double,,2048,0.001,6,26612046,False
vectorized,exp,double,,2048,0.001,7,58,False
naive,exp,double,,2048,0.001,7,26236611,False
vectorized,exp,double,,2048,0.001,8,62,False
naive,exp,double,,2048,0.001,8,27332454,False
vectorized,exp,double,,2048,0.001,9,69,False
naive,exp,double,,2048,0.001,9,26253007,False
vectorized,exp,double,,2048,0.01,0,61,False
naive,exp,double,,2048,0.01,0,26304551,False
vectorized,exp,double,,2048,0.01,1,70,False
naive,exp,double,,2048,0.01,1,27166266,False
vectorized,exp,double,,2048,0.01,2,62,False
naive,exp,double,,2048,0.01,2,27321238,False
vectorized,exp,double,,2048,0.01,3,61,False
naive,exp,double,,2048,0.01,3,27216588,False
vectorized,exp,double,,2048,0.01,4,68,False
naive,exp,double,,2048,0.01,4,27185218,False
vectorized,exp,double,,2048,0.01,5,70,False
naive,exp,double,,2048,0.01,5,26377812,False
vectorized,exp,double,,2048,0.01,6,61,False
naive,exp,double,,2048,0.01,6,26304918,False
vectorized,exp,double,,2048,0.01,7,66,False
naive,exp,double,,2048,0.01,7,26864133,False
vectorized,exp,double,,2048,0.01,8,61,False
naive,exp,double,,2048,0.01,8,27172908,False
vectorized,exp,double,,2048,0.01,9,59,False
naive,exp,double,,2048,0.01,9,27130570,False
vectorized,exp,double,,2048,0.05,0,71,False
naive,exp,double,,2048,0.05,0,27353215,False
vectorized,exp,double,,2048,0.05,1,71,False
naive,exp,double,,2048,0.05,1,28275283,False
vectorized,exp,double,,2048,0.05,2,60,False
naive,exp,double,,2048,0.05,2,28191057,False
vectorized,exp,double,,2048,0.05,3,63,False
naive,exp,double,,2048,0.05,3,29667675,False
vectorized,exp,double,,2048,0.05,4,61,False
naive,exp,double,,2048,0.05,4,27320755,False
vectorized,exp,double,,2048,0.05,5,69,False
naive,exp,double,,2048,0.05,5,28296939,False
vectorized,exp,double,,2048,0.05,6,61,False
naive,exp,double,,2048,0.05,6,27280825,False
vectorized,exp,double,,2048,0.05,7,60,False
naive,exp,double,,2048,0.05,7,28201851,False
vectorized,exp,double,,2048,0.05,8,62,False
naive,exp,double,,2048,0.05,8,28456978,False
vectorized,exp,double,,2048,0.05,9,64,False
naive,exp,double,,2048,0.05,9,27287905,False
vectorized,exp,double,,2048,0.1,0,64,False
naive,exp,double,,2048,0.1,0,28623218,False
vectorized,exp,double,,2048,0.1,1,61,False
naive,exp,double,,2048,0.1,1,29688399,False
vectorized,exp,double,,2048,0.1,2,74,False
naive,exp,double,,2048,0.1,2,28710256,False
vectorized,exp,double,,2048,0.1,3,59,False
naive,exp,double,,2048,0.1,3,28630309,False
vectorized,exp,double,,2048,0.1,4,61,False
naive,exp,double,,2048,0.1,4,29767493,False
vectorized,exp,double,,2048,0.1,5,68,False
naive,exp,double,,2048,0.1,5,29559923,False
vectorized,exp,double,,2048,0.1,6,61,False
naive,exp,double,,2048,0.1,6,29540251,False
vectorized,exp,double,,2048,0.1,7,62,False
naive,exp,double,,2048,0.1,7,28583174,False
vectorized,exp,double,,2048,0.1,8,61,False
naive,exp,double,,2048,0.1,8,28682302,False
vectorized,exp,double,,2048,0.1,9,60,False
naive,exp,double,,2048,0.1,9,29560448,False
vectorized,exp,double,,2048,0.2,0,62,False
naive,exp,double,,2048,0.2,0,32666311,False
vectorized,exp,double,,2048,0.2,1,61,False
naive,exp,double,,2048,0.2,1,31649907,False
vectorized,exp,double,,2048,0.2,2,61,False
naive,exp,double,,2048,0.2,2,32492333,False
vectorized,exp,double,,2048,0.2,3,59,False
naive,exp,double,,2048,0.2,3,32697484,False
vectorized,exp,double,,2048,0.2,4,68,False
naive,exp,double,,2048,0.2,4,32689346,False
vectorized,exp,double,,2048,0.2,5,68,False
naive,exp,double,,2048,0.2,5,31711729,False
vectorized,exp,double,,2048,0.2,6,59,False
naive,exp,double,,2048,0.2,6,32470608,False
vectorized,exp,double,,2048,0.2,7,60,False
naive,exp,double,,2048,0.2,7,32536961,False
vectorized,exp,double,,2048,0.2,8,61,False
naive,exp,double,,2048,0.2,8,32603904,False
vectorized,exp,double,,2048,0.2,9,62,False
naive,exp,double,,2048,0.2,9,32610488,False
vectorized,exp,double,,2048,0.25,0,63,True
naive,exp,double,,2048,0.25,0,33564855,True
vectorized,exp,double,,2048,0.25,1,61,True
naive,exp,double,,2048,0.25,1,34207099,True
vectorized,exp,double,,2048,0.25,2,61,True
naive,exp,double,,2048,0.25,2,34144234,True
vectorized,exp,double,,2048,0.25,3,63,True
naive,exp,double,,2048,0.25,3,33145868,True
vectorized,exp,double,,2048,0.25,4,70,True
naive,exp,double,,2048,0.25,4,33660887,True
vectorized,exp,double,,2048,0.25,5,69,True
naive,exp,double,,2048,0.25,5,33694287,True
vectorized,exp,double,,2048,0.25,6,69,True
naive,exp,double,,2048,0.25,6,33868203,True
vectorized,exp,double,,2048,0.25,7,61,True
naive,exp,double,,2048,0.25,7,34370431,True
vectorized,exp,double,,2048,0.25,8,61,True
naive,exp,double,,2048,0.25,8,33931855,True
vectorized,exp,double,,2048,0.25,9,66,True
naive,exp,double,,2048,0.25,9,34169677,True
vectorized,exp,double,,2048,1.0,0,87,True
naive,exp,double,,2048,1.0,0,29309591,True
vectorized,exp,double,,2048,1.0,1,81,True
naive,exp,double,,2048,1.0,1,30369072,True
vectorized,exp,double,,2048,1.0,2,145,True
naive,exp,double,,2048,1.0,2,29042226,True
vectorized,exp,double,,2048,1.0,3,138,True
naive,exp,double,,2048,1.0,3,29388394,True
vectorized,exp,double,,2048,1.0,4,62,True
naive,exp,double,,2048,1.0,4,28956226,True
vectorized,exp,double,,2048,1.0,5,71,True
naive,exp,double,,2048,1.0,5,28656683,True
vectorized,exp,double,,2048,1.0,6,83,True
naive,exp,double,,2048,1.0,6,28468612,True
vectorized,exp,double,,2048,1.0,7,84,True
naive,exp,double,,2048,1.0,7,28647163,True
vectorized,exp,double,,2048,1.0,8,94,True
naive,exp,double,,2048,1.0,8,28606321,True
vectorized,exp,double,,2048,1.0,9,84,True
naive,exp,double,,2048,1.0,9,29041774,True
vectorized,exp,double,,4096,0.001,0,62,False
naive,exp,double,,4096,0.001,0,108765187,False
vectorized,exp,double,,4096,0.001,1,62,False
naive,exp,double,,4096,0.001,1,109151650,False
vectorized,exp,double,,4096,0.001,2,60,False
naive,exp,double,,4096,0.001,2,109113302,False
vectorized,exp,double,,4096,0.001,3,73,False
naive,exp,double,,4096,0.001,3,105902372,False
vectorized,exp,double,,4096,0.001,4,61,False
naive,exp,double,,4096,0.001,4,105175889,False
vectorized,exp,double,,4096,0.001,5,73,False
naive,exp,double,,4096,0.001,5,105340591,False
vectorized,exp,double,,4096,0.001,6,61,False
naive,exp,double,,4096,0.001,6,108139308,False
vectorized,exp,double,,4096,0.001,7,63,False
naive,exp,double,,4096,0.001,7,114549712,False
vectorized,exp,double,,4096,0.001,8,68,False
naive,exp,double,,4096,0.001,8,108936038,False
vectorized,exp,double,,4096,0.001,9,62,False
naive,exp,double,,4096,0.001,9,109191134,False
vectorized,exp,double,,4096,0.01,0,62,False
naive,exp,double,,4096,0.01,0,107104674,False
vectorized,exp,double,,4096,0.01,1,63,False
naive,exp,double,,4096,0.01,1,107501531,False
vectorized,exp,double,,4096,0.01,2,76,False
naive,exp,double,,4096,0.01,2,109100516,False
vectorized,exp,double,,4096,0.01,3,60,False
naive,exp,double,,4096,0.01,3,105342777,False
vectorized,exp,double,,4096,0.01,4,61,False
naive,exp,double,,4096,0.01,4,104717830,False
vectorized,exp,double,,4096,0.01,5,61,False
naive,exp,double,,4096,0.01,5,108884990,False
vectorized,exp,double,,4096,0.01,6,59,False
naive,exp,double,,4096,0.01,6,109293991,False
vectorized,exp,double,,4096,0.01,7,61,False
naive,exp,double,,4096,0.01,7,109152411,False
vectorized,exp,double,,4096,0.01,8,70,False
naive,exp,double,,4096,0.01,8,104808938,False
vectorized,exp,double,,4096,0.01,9,62,False
naive,exp,double,,4096,0.01,9,108169962,False
vectorized,exp,double,,4096,0.05,0,61,False
naive,exp,double,,4096,0.05,0,113705459,False
vectorized,exp,double,,4096,0.05,1,62,False
naive,exp,double,,4096,0.05,1,113766322,False
vectorized,exp,double,,4096,0.05,2,61,False
naive,exp,double,,4096,0.05,2,113203519,False
vectorized,exp,double,,4096,0.05,3,61,False
naive,exp,double,,4096,0.05,3,109390611,False
vectorized,exp,double,,4096,0.05,4,61,False
naive,exp,double,,4096,0.05,4,112131433,False
vectorized,exp,double,,4096,0.05,5,61,False
naive,exp,double,,4096,0.05,5,109713122,False
vectorized,exp,double,,4096,0.05,6,61,False
naive,exp,double,,4096,0.05,6,111698062,False
vectorized,exp,double,,4096,0.05,7,64,False
naive,exp,double,,4096,0.05,7,110696535,False
vectorized,exp,double,,4096,0.05,8,61,False
naive,exp,double,,4096,0.05,8,112852271,False
vectorized,exp,double,,4096,0.05,9,61,False
naive,exp,double,,4096,0.05,9,119496099,False
vectorized,exp,double,,4096,0.1,0,64,False
naive,exp,double,,4096,0.1,0,116527299,False
