mode,op,element_type,analysis,n,sparsity,select-matrix-repr,mean_ns,std_ns
naive,idxMax,double,min max,4096,0.001,False,13667563.4,150558.23620867304
naive,idxMax,double,min max,4096,0.01,False,14190546.6,1569401.0653865663
naive,idxMax,double,min max,4096,0.05,False,13690308.3,142326.36384501788
naive,idxMax,double,min max,4096,0.1,False,14518514.8,1891851.6996662768
naive,idxMax,double,min max,4096,0.2,False,14341015.4,1259371.6171025932
naive,idxMax,double,min max,4096,0.25,True,15274127.2,1893517.3098070282
naive,idxMax,double,min max,4096,1.0,True,13769409.5,134800.95451627855
naive,idxMax,double,min max mean,1024,0.001,False,1075484.9,12527.159281160133
naive,idxMax,double,min max mean,1024,0.01,False,1099832.2,9878.210541950968
naive,idxMax,double,min max mean,1024,0.05,False,1082758.7,64544.68021120458
naive,idxMax,double,min max mean,1024,0.1,False,1092963.1,17797.016307048052
naive,idxMax,double,min max mean,1024,0.2,False,1045804.1,59708.62028672611
naive,idxMax,double,min max mean,1024,0.25,True,1046836.7,49882.66745084021
naive,idxMax,double,min max mean,1024,1.0,True,1112126.3,67184.18290548587
naive,idxMax,double,min max mean,2048,0.001,False,3395130.1,269882.7986291045
naive,idxMax,double,min max mean,2048,0.01,False,3294228.4,22648.607900315412
naive,idxMax,double,min max mean,2048,0.05,False,3302997.1,29524.82832935317
naive,idxMax,double,min max mean,2048,0.1,False,3598935.2,484193.8579290095
naive,idxMax,double,min max mean,2048,0.2,False,3643861.6,476154.9694806887
naive,idxMax,double,min max mean,2048,0.25,True,3495472.0,290924.2022325861
naive,idxMax,double,min max mean,2048,1.0,True,4520072.3,384569.94469148404
naive,idxMax,double,min max mean,4096,0.001,False,14646294.9,1996945.6363606588
naive,idxMax,double,min max mean,4096,0.01,False,14495283.8,1852327.0410722592
naive,idxMax,double,min max mean,4096,0.05,False,14375953.3,1523764.1027216522
naive,idxMax,double,min max mean,4096,0.1,False,13729787.4,165772.98606642088
naive,idxMax,double,min max mean,4096,0.2,False,14433543.1,1401852.7398631705
naive,idxMax,double,min max mean,4096,0.25,True,13802277.4,91655.67780097203
naive,idxMax,double,min max mean,4096,1.0,True,14558683.2,1354149.5272432314
naive,idxMax,double,,1024,0.001,False,1069133.95,58795.62574176577
naive,idxMax,double,,1024,0.01,False,1086969.55,12624.53354417086
naive,idxMax,double,,1024,0.05,False,1093594.7,8492.305118226323
naive,idxMax,double,,1024,0.1,False,1081452.35,45258.31770401292
naive,idxMax,double,,1024,0.2,False,1059819.35,39289.91185275643
naive,idxMax,double,,1024,0.25,True,1041675.55,43154.78608509139
naive,idxMax,double,,1024,1.0,True,1128982.8,10959.164660828737
naive,idxMax,double,,2048,0.001,False,3419333.35,314612.7671326628
naive,idxMax,double,,2048,0.01,False,3499982.1,388080.58464500704
naive,idxMax,double,,2048,0.05,False,3369461.7,140401.29656662527
naive,idxMax,double,,2048,0.1,False,3378714.4,206148.95563298007
naive,idxMax,double,,2048,0.2,False,3440820.65,294172.0217859066
naive,idxMax,double,,2048,0.25,True,3498925.3,330009.0772011709
naive,idxMax,double,,2048,1.0,True,4201387.3,464911.9391030268
naive,idxMax,double,,4096,0.001,False,14131174.9,1356887.1183041641
naive,idxMax,double,,4096,0.01,False,14214377.65,1637736.185505605
naive,idxMax,double,,4096,0.05,False,13943735.75,787667.9341966171
naive,idxMax,double,,4096,0.1,False,14072882.75,1250685.0942439039
naive,idxMax,double,,4096,0.2,False,14131140.25,926412.6696121345
naive,idxMax,double,,4096,0.25,True,14176375.75,1231717.3629530813
naive,idxMax,double,,4096,1.0,True,13863166.85,781018.281859972
naive,idxMax,int64_t,max,1024,0.001,False,1044242.1,35477.377121671925
naive,idxMax,int64_t,max,1024,0.01,False,1036437.2,12571.851298303947
naive,idxMax,int64_t,max,1024,0.05,False,1035553.2,10481.119668771618
naive,idxMax,int64_t,max,1024,0.1,False,993447.5,36786.5882603067
naive,idxMax,int64_t,max,1024,0.2,False,976919.0,8802.448750205824
naive,idxMax,int64_t,max,1024,0.25,True,953619.2,15461.727248632702
naive,idxMax,int64_t,max,1024,1.0,True,1075111.1,15067.8148342013
naive,idxMax,int64_t,max,2048,0.001,False,3231424.1,119393.35537760143
naive,idxMax,int64_t,max,2048,0.01,False,3148517.8,32235.068298016366
naive,idxMax,int64_t,max,2048,0.05,False,3191150.6,71191.03144076504
naive,idxMax,int64_t,max,2048,0.1,False,3176865.3,125656.81625677495
naive,idxMax,int64_t,max,2048,0.2,False,3303992.8,403577.6577258844
naive,idxMax,int64_t,max,2048,0.25,True,3609557.9,616349.4539134705
naive,idxMax,int64_t,max,2048,1.0,True,4331565.3,36739.85121257592
naive,idxMax,int64_t,max,4096,0.001,False,14142258.2,1414533.390572296
naive,idxMax,int64_t,max,4096,0.01,False,13694665.3,772209.3131410608
naive,idxMax,int64_t,max,4096,0.05,False,14155124.5,1602892.6076380543
naive,idxMax,int64_t,max,4096,0.1,False,14324597.9,1614763.254156572
naive,idxMax,int64_t,max,4096,0.2,False,14093687.2,927043.823483586
naive,idxMax,int64_t,max,4096,0.25,True,13710814.1,426765.8374790689
naive,idxMax,int64_t,max,4096,1.0,True,13582874.3,484115.1828358963
naive,idxMax,int64_t,mean,1024,0.001,False,1068796.1,137313.36499688105
naive,idxMax,int64_t,mean,1024,0.01,False,1028596.4,35070.199664229
naive,idxMax,int64_t,mean,1024,0.05,False,1045811.6,18773.43606861094
naive,idxMax,int64_t,mean,1024,0.1,False,1019060.1,9321.790319818747
naive,idxMax,int64_t,mean,1024,0.2,False,971074.4,12297.66579658288
naive,idxMax,int64_t,mean,1024,0.25,True,962689.4,14298.795755043297
naive,idxMax,int64_t,mean,1024,1.0,True,1067770.6,16679.805655675704
naive,idxMax,int64_t,mean,2048,0.001,False,3377373.3,433107.288936856
naive,idxMax,int64_t,mean,2048,0.01,False,3344020.3,344887.9859861266
naive,idxMax,int64_t,mean,2048,0.05,False,3268994.4,193461.48426449706
naive,idxMax,int64_t,mean,2048,0.1,False,3384634.8,440332.6181775167
naive,idxMax,int64_t,mean,2048,0.2,False,3255537.5,297233.2087047886
naive,idxMax,int64_t,mean,2048,0.25,True,3214323.4,138078.15583791662
naive,idxMax,int64_t,mean,2048,1.0,True,4337472.7,39088.89080047053
naive,idxMax,int64_t,mean,4096,0.001,False,14008305.1,1471007.6230743974
naive,idxMax,int64_t,mean,4096,0.01,False,13878740.3,951965.139619566
naive,idxMax,int64_t,mean,4096,0.05,False,13834486.2,1070785.9432853565
naive,idxMax,int64_t,mean,4096,0.1,False,13713480.9,478612.0886295311
naive,idxMax,int64_t,mean,4096,0.2,False,13525398.1,67558.45179044768
naive,idxMax,int64_t,mean,4096,0.25,True,14115372.0,1529632.6237519328
naive,idxMax,int64_t,mean,4096,1.0,True,13544279.8,216566.33371828092
naive,idxMax,int64_t,min,1024,0.001,False,1036517.4,16304.141213541763
naive,idxMax,int64_t,min,1024,0.01,False,1051232.0,28999.151466513274
naive,idxMax,int64_t,min,1024,0.05,False,1034658.5,13438.907985150166
naive,idxMax,int64_t,min,1024,0.1,False,1010063.6,9030.412113150394
