op,element_type,analysis,n,sparsity,mean_ns,std_ns
IDXMAX,int64_t,sparsity,2048,1.0,2207348.0,93480.20322803948
IDXMAX,int64_t,sparsity,4096,0.25,8918141.0,10436.037402513834
IDXMAX,int64_t,sparsity,4096,1.0,8927335.0,10150.24055544158
IDXMIN,double,min,1024,0.25,1260009.0,4518.496431336418
IDXMIN,double,min,1024,1.0,1271414.0,33208.49529864307
IDXMIN,double,min,2048,0.25,5216837.0,8552.110915505617
IDXMIN,double,min,2048,1.0,5220563.0,11026.416814984701
IDXMIN,double,min,4096,0.25,21429940.0,14865.784727203649
IDXMIN,double,min,4096,1.0,21409850.0,7870.51459562848
IDXMIN,double,"min, max",1024,0.25,1261199.0,5310.458130477584
IDXMIN,double,"min, max",1024,1.0,1279916.0,33661.80037437755
IDXMIN,double,"min, max",2048,0.25,5218975.0,5463.456882882071
IDXMIN,double,"min, max",2048,1.0,5223836.0,13522.516366745158
IDXMIN,double,"min, max",4096,0.25,21430180.0,18362.87317145973
IDXMIN,double,"min, max",4096,1.0,21446230.0,53587.72765807077
IDXMIN,double,"min, max, mean, sparsity, numDistinctApprox",1024,0.25,1382465.0,2470.430686697729
IDXMIN,double,"min, max, mean, sparsity, numDistinctApprox",1024,1.0,1389622.0,18202.289721656216
IDXMIN,double,"min, max, mean, sparsity, numDistinctApprox",2048,0.25,5389569.0,3782.786891521447
IDXMIN,double,"min, max, mean, sparsity, numDistinctApprox",2048,1.0,5387714.0,3626.7162986799904
IDXMIN,double,"min, max, mean, sparsity, numDistinctApprox",4096,0.25,21078610.0,5662.243371668317
IDXMIN,double,"min, max, mean, sparsity, numDistinctApprox",4096,1.0,21090980.0,46812.196891170934
IDXMIN,double,numDistinct,1024,0.25,1349511.0,1279.066065533783
IDXMIN,double,numDistinct,1024,1.0,1357799.0,18995.44416140061
IDXMIN,double,numDistinct,2048,0.25,5306333.0,3045.6236361922697
IDXMIN,double,numDistinct,2048,1.0,5308557.0,4043.3870565268276
IDXMIN,double,numDistinct,4096,0.25,20998650.0,9257.699498255648
IDXMIN,double,numDistinct,4096,1.0,21002240.0,7826.621237801342
IDXMIN,double,numDistinctApprox,1024,0.25,1381935.0,2378.7309875459036
IDXMIN,double,numDistinctApprox,1024,1.0,1389846.0,18575.76569380414
IDXMIN,double,numDistinctApprox,2048,0.25,5386731.0,3332.2046422417484
IDXMIN,double,numDistinctApprox,2048,1.0,5385104.0,3713.845566106416
IDXMIN,double,numDistinctApprox,4096,0.25,21075890.0,10492.690577518886
IDXMIN,double,numDistinctApprox,4096,1.0,21075700.0,14710.767031894176
IDXMIN,double,sparsity,1024,0.25,1258411.0,6205.944193540047
IDXMIN,double,sparsity,1024,1.0,1271813.0,35074.245711379495
IDXMIN,double,sparsity,2048,0.25,5214916.0,6565.738005400047
IDXMIN,double,sparsity,2048,1.0,5216065.0,10204.962028346703
IDXMIN,double,sparsity,4096,0.25,21420530.0,18298.819026859936
