result_repr,element_type,analysis,n,sparsity,mean_ns,std_ns
CSRMatrix,double,numDistinct,1024,0.2,43529.0,8932.428498951946
CSRMatrix,double,numDistinct,1024,0.25,48742.1,10795.2833471125
CSRMatrix,double,numDistinct,1024,1.0,130407.5,38822.65626108892
CSRMatrix,double,numDistinct,2048,0.001,24724.6,1584.8025604331776
CSRMatrix,double,numDistinct,2048,0.01,33572.3,3973.851841168157
CSRMatrix,double,numDistinct,2048,0.05,48227.2,7889.663206443675
CSRMatrix,double,numDistinct,2048,0.1,60389.0,11526.395890399663
CSRMatrix,double,numDistinct,2048,0.2,75606.0,16229.050708186505
CSRMatrix,double,numDistinct,2048,0.25,83073.7,18415.742885127147
CSRMatrix,double,numDistinct,2048,1.0,387722.9,125217.84344222762
CSRMatrix,double,numDistinct,4096,0.001,52052.8,4778.659477301139
CSRMatrix,double,numDistinct,4096,0.01,70737.8,9636.905851983822
CSRMatrix,double,numDistinct,4096,0.05,96257.3,16633.031193314637
CSRMatrix,double,numDistinct,4096,0.1,110448.2,21705.97233123742
CSRMatrix,double,numDistinct,4096,0.2,135014.0,29655.298934404436
CSRMatrix,double,numDistinct,4096,0.25,148985.0,34914.164626345504
CSRMatrix,double,numDistinct,4096,1.0,1148113.4,385773.18334315444
CSRMatrix,double,numDistinctApprox,1024,0.001,11900.9,505.3556393493815
CSRMatrix,double,numDistinctApprox,1024,0.01,15855.2,1611.0540235096607
CSRMatrix,double,numDistinctApprox,1024,0.05,24759.7,3798.6081676202284
CSRMatrix,double,numDistinctApprox,1024,0.1,32304.4,5823.074449502122
CSRMatrix,double,numDistinctApprox,1024,0.2,44659.3,9158.999351578874
CSRMatrix,double,numDistinctApprox,1024,0.25,49972.0,11195.172441726836
CSRMatrix,double,numDistinctApprox,1024,1.0,132808.6,39239.763585764216
CSRMatrix,double,numDistinctApprox,2048,0.001,23575.0,1079.611967329003
CSRMatrix,double,numDistinctApprox,2048,0.01,32671.3,3925.2091536630246
CSRMatrix,double,numDistinctApprox,2048,0.05,49013.0,8120.526433400457
CSRMatrix,double,numDistinctApprox,2048,0.1,61301.6,11599.59622094187
CSRMatrix,double,numDistinctApprox,2048,0.2,77853.2,16750.322449964293
CSRMatrix,double,numDistinctApprox,2048,0.25,85349.8,18642.46235405136
CSRMatrix,double,numDistinctApprox,2048,1.0,397508.2,128053.22098669235
CSRMatrix,double,numDistinctApprox,4096,0.001,49861.4,4511.548642711897
CSRMatrix,double,numDistinctApprox,4096,0.01,68992.6,8914.03381939587
CSRMatrix,double,numDistinctApprox,4096,0.05,96794.4,17171.349259093702
CSRMatrix,double,numDistinctApprox,4096,0.1,112689.1,22020.218802273514
CSRMatrix,double,numDistinctApprox,4096,0.2,137691.1,30446.424601074075
CSRMatrix,double,numDistinctApprox,4096,0.25,152630.9,35719.660050174054
CSRMatrix,double,numDistinctApprox,4096,1.0,1163306.3,390779.3920007241
CSRMatrix,double,sparsity,1024,0.001,12157.7,1089.5823919690008
CSRMatrix,double,sparsity,1024,0.01,15540.5,1586.851687391666
CSRMatrix,double,sparsity,1024,0.05,22672.3,3395.281727796843
CSRMatrix,double,sparsity,1024,0.1,29231.3,5113.467795928708
CSRMatrix,double,sparsity,1024,0.2,40092.0,8535.56438282398
CSRMatrix,double,sparsity,1024,0.25,43912.5,9703.392971876727
CSRMatrix,double,sparsity,1024,1.0,126353.6,38713.06831664068
CSRMatrix,double,sparsity,2048,0.001,25277.2,1345.9984150560258
CSRMatrix,double,sparsity,2048,0.01,32561.0,3860.2104720971997
CSRMatrix,double,sparsity,2048,0.05,46207.8,7640.000709714916
CSRMatrix,double,sparsity,2048,0.1,57235.0,11012.041116684753
CSRMatrix,double,sparsity,2048,0.2,70683.1,15497.273498192439
CSRMatrix,double,sparsity,2048,0.25,76589.7,17338.481710089585
CSRMatrix,double,sparsity,2048,1.0,380282.5,124215.44469209759
CSRMatrix,double,sparsity,4096,0.001,52001.3,3796.531108203324
CSRMatrix,double,sparsity,4096,0.01,68360.0,8997.324429456172
CSRMatrix,double,sparsity,4096,0.05,92360.7,16090.109156801198
CSRMatrix,double,sparsity,4096,0.1,105980.4,20601.61517508329
CSRMatrix,double,sparsity,4096,0.2,128679.7,28454.745380652726
CSRMatrix,double,sparsity,4096,0.25,142568.1,33326.975525174144
CSRMatrix,double,sparsity,4096,1.0,1127919.4,379614.97865196696
CSRMatrix,double,symmetry,1024,0.001,12538.6,1397.7770605898177
CSRMatrix,double,symmetry,1024,0.01,15788.6,1174.3354811220784
CSRMatrix,double,symmetry,1024,0.05,24294.0,2717.7544652402526
CSRMatrix,double,symmetry,1024,0.1,33442.5,5472.638998793098
CSRMatrix,double,symmetry,1024,0.2,44634.7,8303.09864582026
CSRMatrix,double,symmetry,1024,0.25,49031.1,9670.090651649089
CSRMatrix,double,symmetry,1024,1.0,136764.2,39342.32120701009
CSRMatrix,double,symmetry,2048,0.001,24944.5,773.5869196297352
CSRMatrix,double,symmetry,2048,0.01,33043.1,1674.5958351528022
CSRMatrix,double,symmetry,2048,0.05,49199.9,7186.960498786057
CSRMatrix,double,symmetry,2048,0.1,60979.9,10624.561109366668
CSRMatrix,double,symmetry,2048,0.2,77336.7,15738.62709705011
CSRMatrix,double,symmetry,2048,0.25,85125.5,18264.683628674098
CSRMatrix,double,symmetry,2048,1.0,388117.6,123946.60880413164
CSRMatrix,double,symmetry,4096,0.001,50986.1,3812.219197673596
CSRMatrix,double,symmetry,4096,0.01,68889.9,6861.078121468148
CSRMatrix,double,symmetry,4096,0.05,94955.6,15665.639946498623
CSRMatrix,double,symmetry,4096,0.1,110277.7,20163.70833425461
CSRMatrix,double,symmetry,4096,0.2,135305.9,29083.28309241124
CSRMatrix,double,symmetry,4096,0.25,149866.6,33853.9600119231
CSRMatrix,double,symmetry,4096,1.0,1134492.0,380553.8930967743
CSRMatrix,int64_t,min,1024,0.001,11765.4,780.7132351610003
CSRMatrix,int64_t,min,1024,0.01,15223.8,1655.7989545164528
CSRMatrix,int64_t,min,1024,0.05,23577.3,3890.644335382565
CSRMatrix,int64_t,min,1024,0.1,29690.7,5283.123992698091
CSRMatrix,int64_t,min,1024,0.2,39976.8,8624.53615886417
CSRMatrix,int64_t,min,1024,0.25,43970.0,9922.275948591632
CSRMatrix,int64_t,min,1024,1.0,125251.5,37873.82004689314
CSRMatrix,int64_t,min,2048,0.001,23754.6,1528.0253924591698
CSRMatrix,int64_t,min,2048,0.01,31889.4,3834.567198524496
CSRMatrix,int64_t,min,2048,0.05,45510.6,7190.156839581303
CSRMatrix,int64_t,min,2048,0.1,57393.0,10953.46319663329
CSRMatrix,int64_t,min,2048,0.2,70508.4,15413.154513091875
CSRMatrix,int64_t,min,2048,0.25,76444.1,17382.442511211004
CSRMatrix,int64_t,min,2048,1.0,379226.4,123726.6524832508
CSRMatrix,int64_t,min,4096,0.001,49925.6,4334.444247343982
CSRMatrix,int64_t,min,4096,0.01,67544.0,8926.362665971199
CSRMatrix,int64_t,min,4096,0.05,92050.5,16344.70727279425
CSRMatrix,int64_t,min,4096,0.1,106437.3,21128.96154071205
CSRMatrix,int64_t,min,4096,0.2,129476.8,29139.25795516725
CSRMatrix,int64_t,min,4096,0.25,142874.9,33623.98071961934
CSRMatrix,int64_t,min,4096,1.0,1026156.1,344861.3209246259
CSRMatrix,int64_t,"min, max",1024,0.001,11926.9,745.4255235173472
CSRMatrix,int64_t,"min, max",1024,0.01,15793.8,1643.1484547795565
CSRMatrix,int64_t,"min, max",1024,0.05,23847.1,3721.473108864284
CSRMatrix,int64_t,"min, max",1024,0.1,30219.8,5407.071846716628
CSRMatrix,int64_t,"min, max",1024,0.2,39807.4,8367.680140477009
CSRMatrix,int64_t,"min, max",1024,0.25,44747.5,10130.614298035216
CSRMatrix,int64_t,"min, max",1024,1.0,124924.7,38189.494916941636
CSRMatrix,int64_t,"min, max",2048,0.001,24578.8,1497.1399251758519
CSRMatrix,int64_t,"min, max",2048,0.01,33210.7,4104.332806789539
CSRMatrix,int64_t,"min, max",2048,0.05,47471.1,7985.759665387716
CSRMatrix,int64_t,"min, max",2048,0.1,57018.6,10851.08697269029
CSRMatrix,int64_t,"min, max",2048,0.2,70605.6,15283.807344157847
CSRMatrix,int64_t,"min, max",2048,0.25,77276.9,17502.860162778477
CSRMatrix,int64_t,"min, max",2048,1.0,377963.6,123220.85575294828
CSRMatrix,int64_t,"min, max",4096,0.001,51420.7,5370.412937775104
CSRMatrix,int64_t,"min, max",4096,0.01,69697.0,9591.192846680862
CSRMatrix,int64_t,"min, max",4096,0.05,92288.9,15994.670601658403
CSRMatrix,int64_t,"min, max",4096,0.1,106113.9,20464.443100982087
CSRMatrix,int64_t,"min, max",4096,0.2,129765.9,28671.744265236306
CSRMatrix,int64_t,"min, max",4096,0.25,143743.8,33786.37854323346
CSRMatrix,int64_t,"min, max",4096,1.0,1026140.9,344392.903016453
CSRMatrix,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,0.001,12863.4,1505.4300382282797
CSRMatrix,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,0.01,16947.3,663.3904581767817
CSRMatrix,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,0.05,25520.2,2909.9193115961134
CSRMatrix,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,0.1,35095.5,5921.474914805151
CSRMatrix,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,0.2,46579.1,8673.902126494164
CSRMatrix,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,0.25,52012.0,10049.245477480717
CSRMatrix,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",1024,1.0,134434.7,36960.56095067943
CSRMatrix,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",2048,0.001,25547.2,558.7316589085203
